"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0263659",112.408330733992,-1.06556626370604,0.341767985241175,-3.11780596697524,0.00182202714320526,0.0280352532382937
"FBgn0033367",12040.0872108787,1.45965347986014,0.1152060752227,12.6699349581916,8.67863269903985e-37,8.62981539010775e-34
"FBgn0033913",3222.78338710802,-1.04319057203252,0.107922956236999,-9.66606742815383,4.20216060058845e-22,1.51946307171278e-19
"FBgn0034438",47.4296650648416,1.5899162401665,0.455410244402747,3.49117363894969,0.000480903598918042,0.00978411286289775
"FBgn0261284",48.2386203455799,2.43169434280671,0.479769200134112,5.06846696729796,4.0103256147113e-07,1.96926791759434e-05
"FBgn0264090",18.9247717759501,-2.34675766034951,0.792109303311349,-2.96266897830777,0.00304984357611993,0.0421206695278369
"FBgn0085359",28.7370567616355,-4.66810781401253,1.52983663717674,-3.05137666373799,0.00227794613372851,0.0334336927930079
"FBgn0030598",28.7357471264257,2.61429224738122,0.680403839867864,3.84226556964894,0.000121903830096039,0.00289476109974326
"FBgn0030326",91.178229961408,-1.45086733074967,0.357354301276464,-4.06002481449697,4.90675009197696e-05,0.00129248996628069
"FBgn0023549",119.501110752061,-1.51286646046192,0.300545160654561,-5.03374087663576,4.80999750866049e-07,2.27759108222585e-05
"FBti0019740",90.3906643020685,-1.12027857619569,0.356860184250624,-3.1392646914314,0.00169372382079747,0.0265750946635975
"FBgn0031150",503.798914516614,1.23846588382071,0.166104624749662,7.45593860307754,8.92302929459841e-14,1.39181760859863e-11
"FBgn0003360",2299.15683428525,-2.98906033416291,0.126041441071423,-23.7149012955915,2.53100025532917e-124,2.01341070311435e-120
"FBgn0025111",1167.04955877937,2.8197579437395,0.137803966469864,20.462095656413,4.68794595070706e-93,1.24308700126249e-89
"FBgn0003447",27.4245489246801,1.83527631899192,0.6108764941657,3.00433285045357,0.0026616396366169,0.0378095416237275
"FBgn0030805",249.758287726644,1.0011086083379,0.22063339621871,4.53743007856129,5.6943901472898e-06,0.00020332719437213
"FBgn0260484",44.5432482487159,1.59631212502797,0.466956688191446,3.41854430056584,0.000629570683124589,0.0122750852555297
"FBgn0052625",98.5871744311004,1.30060705547625,0.344658648357995,3.77360922661462,0.000160902725154023,0.00368870656657133
"FBgn0029896",285.103497141388,-2.36416829227805,0.216887129890442,-10.9004545058634,1.1468298603524e-27,6.0820210260689e-25
"FBgn0030041",54.6169898361012,-3.62791711189712,0.521055874129597,-6.96262587569405,3.33987939604296e-12,4.02556675689724e-10
"FBti0019739",74.998600942326,-1.39544170823023,0.393080142041728,-3.55001832700593,0.000385204333705772,0.00800078452905854
"FBgn0031117",255.627882075482,1.11376122148639,0.220659598359251,5.04741796762044,4.47820947417977e-07,2.14603351609036e-05
"FBgn0024984",90.6150662906828,1.4807619496854,0.33979452059189,4.35781585620056,1.31366836411829e-05,0.000430050692862593
"FBgn0027279",1811.83179753035,-1.21071756227631,0.121183342634379,-9.99079193523451,1.67240225999976e-23,6.65197998914905e-21
"FBgn0051642",78.5836818283237,1.91798667661635,0.372052375711867,5.15515234366282,2.53424810351731e-07,1.3263120831237e-05
"FBgn0259715",598.727561065857,-1.96368339045718,0.173416557094555,-11.3235058021968,1.0037583662978e-29,6.65408150324916e-27
"FBgn0031547",129.493616572014,-1.47006839920039,0.294101248862482,-4.9985112436152,5.7774638520361e-07,2.66857701138031e-05
"FBgn0032638",69.6005519063154,-1.25819762326343,0.370154473379904,-3.39911500129863,0.000676042840436766,0.0130056809220362
"FBgn0262598",53.3996309990789,1.55365779830515,0.426583549912812,3.642094962693,0.000270428270681758,0.00584580677519941
"FBgn0267992",230.352037382612,-2.39274423063185,0.269664789539142,-8.87303171734456,7.1181049841806e-19,2.17786635189064e-16
"FBti0062912",82.9864609591252,1.60949826328064,0.354731508414033,4.5372294964057,5.69980695725771e-06,0.00020332719437213
"FBti0060584",20.3391118291091,-2.19416072648627,0.71277620289451,-3.07833050202295,0.00208163909701577,0.031185384212355
"FBgn0040099",455.456321296831,-1.92933656626687,0.175542982640376,-10.9906789621969,4.23726457814606e-28,2.5928799783963e-25
"FBgn0031548",26.6904651747733,-2.04334320010752,0.702141182514034,-2.91016002336065,0.00361243745063232,0.0484602696792245
"FBgn0264437",57.0514772306274,2.27187304041512,0.455495934364505,4.98769114939473,6.11051505310809e-07,2.77766555699856e-05
"FBgn0001137",266.430559664707,-1.4755686289933,0.213605833445043,-6.90790417656331,4.91866021333087e-12,5.83999134284284e-10
"FBgn0263873",508.717243514627,-1.06318883412947,0.175233491415542,-6.06726959293566,1.30103067156708e-09,1.11287085938883e-07
"FBgn0032400",237.376694404435,-1.14797412595109,0.226085661265264,-5.07760695449053,3.82218354308196e-07,1.88853851460975e-05
"FBgn0031689",184.331799184924,1.10330741328828,0.241013949961811,4.57777408097374,4.69949832994694e-06,0.000172278844307502
"FBgn0260011",62.6438376649258,2.14287670299168,0.410545151819296,5.21958837778428,1.79321229312546e-07,9.9062526332035e-06
"FBgn0032598",231.045730677185,1.19102508048713,0.222187360977224,5.36045378660947,8.30131616132609e-08,4.9651857190488e-06
"FBgn0043364",605.926273874669,-1.09954138988097,0.15630709212461,-7.03449456410074,1.99984598130931e-12,2.48574605958056e-10
"FBgn0032405",55.4645048227535,2.1728096496601,0.436386671848113,4.97909260257233,6.38830733340171e-07,2.88744232029606e-05
"FBgn0259714",70.8187353727707,-1.30955134595077,0.369815088245123,-3.5410976663093,0.000398466051873429,0.00825468084024253
"FBgn0000406",188.539809344085,-2.12339034521777,0.277486438108616,-7.6522310772774,1.97521878595215e-14,3.41584031353247e-12
"FBgn0032004",527.627877464094,-1.07216612634307,0.160587223377409,-6.67653443277542,2.44658603912569e-11,2.63007999206012e-09
"FBgn0283658",852.995326546771,-1.10488041954606,0.139750639245711,-7.90608490601211,2.65610051080114e-15,5.28231989085576e-13
"FBgn0031258",80.3836987892004,-1.72093183418868,0.355029196883699,-4.84729664290801,1.2515521602866e-06,5.240051281621e-05
"FBgn0028939",11.4292094781896,-3.29889257879919,1.11925474827516,-2.94740101293561,0.00320457331598047,0.0440042416420223
"FBgn0031322",259.591867286076,-1.46269918502007,0.236677891606177,-6.18012597245012,6.40504720373664e-10,5.99437064773235e-08
"FBgn0004797",97.8366380322409,-1.01886670973211,0.333540662453852,-3.05470014431322,0.00225285640351658,0.0331265668945922
"FBgn0031703",58.1455218047962,-2.27737394753369,0.430287134035749,-5.29268427380978,1.2053391366468e-07,6.94816871885891e-06
"FBgn0053307",563.114737620241,-1.51792255353804,0.177581449808062,-8.5477540316214,1.25506831486017e-17,3.32802281490422e-15
"FBgn0267252",60.2278844662917,-1.43928543921001,0.41308394829853,-3.48424441360732,0.000493528575985901,0.00998987232052887
"FBgn0010097",84.509333605078,1.64066045889752,0.359002727565908,4.57005012196269,4.87607582149899e-06,0.000177932032844149
