"baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
2.82494298923425,0.0182004062016811,0.266127829965385,1,NA,"FBgn0037626"
14.4024264273521,0.118857028397894,0.327399985255782,0.562814598432784,1,"FBgn0051051"
1276.34396234274,-0.095713818034811,0.116684629957083,1,1,"FBgn0045035"
116.93444403844,-2.0040010389718,0.31396868931649,0.000270889866219048,0.0637247888320747,"FBgn0037754"
2.77736951375275,-0.00526792719113839,0.254817234787198,1,NA,"FBgn0051017"
920.016007711258,0.616522910594617,0.147517735479389,1,1,"FBgn0038476"
431.774085722211,0.0151094176729765,0.0940281194772299,1,1,"FBgn0039003"
67.9578321503455,0.0828470603068872,0.18931077892681,1,1,"FBgn0039731"
6815.82214656343,-0.0538037088096706,0.0789530549324648,1,1,"FBgn0087013"
234.28285173231,0.0243159980785038,0.109144021528626,1,1,"FBgn0038302"
49.2968697345327,3.60040411331847e-05,0.156248120858363,1,1,"FBgn0051451"
2.91941055590833,-0.00140443887046007,0.252421521254375,1,NA,"FBgn0002735"
18.332007583361,-0.0202342742074738,0.199272175413535,1,1,"FBgn0051514"
124.898786934567,0.00528307861464593,0.128165201855357,1,1,"FBgn0038462"
281.62182841802,-0.0902342545110352,0.138093178481624,1,1,"FBgn0028487"
61.7419861721569,0.0103412848658839,0.15013767730673,1,1,"FBgn0044511"
163.17030231951,0.0406703504867748,0.127779144585114,1,1,"FBgn0037504"
726.050208842326,0.103663493132092,0.120879591647702,1,1,"FBgn0037963"
6.27334773523668,0.0444838152016137,0.257922579785032,0.932067326183376,NA,"FBgn0042102"
548.723937520576,-0.05917042147292,0.107297468797523,1,1,"FBgn0038499"
499.431991893131,0.00331942478658108,0.0876806377411129,1,1,"FBgn0266916"
2692.9816868664,-0.0248904516401286,0.0710783150665341,1,1,"FBgn0040227"
2.55681094773424,-0.014919278100334,0.272341398494871,1,NA,"FBgn0039312"
136.89744194284,0.0191329510893498,0.128487936881172,1,1,"FBgn0037688"
107.405390199315,0.0135209565762694,0.131705837856215,1,1,"FBgn0044823"
15.0112725107675,0.0926627638160191,0.278947171608163,0.824214766811443,1,"FBgn0013813"
18.0641186459522,-0.144058325029526,0.327032943359954,0.659781937095365,1,"RR48371_transposable_element"
393.440673860587,-0.0262034588756382,0.0995687876710701,1,1,"FBgn0038331"
299.307870772821,-0.116325305708075,0.150508364124359,1,1,"FBgn0038515"
145.490525862729,0.186418246667369,0.218753406372362,1,1,"FBgn0039108"
259.371414697238,0.199782916463362,0.195971400468866,1,1,"FBgn0025574"
428.661758394915,0.00643545581656966,0.0915344533447278,1,1,"FBgn0038760"
1130.62675290551,0.0735983887933958,0.102972606118625,1,1,"FBgn0014861"
146.548999778338,0.0104637913271447,0.12824122064144,1,1,"FBgn0037892"
992.871609007712,0.0122432709662102,0.0768256934845207,1,1,"FBgn0010803"
1054.20119513861,0.0100613038030471,0.0765320769433342,1,1,"FBgn0051122"
21.0700063531745,0.0209816828999122,0.192611453018545,1,1,"FBgn0004118"
385.225086291593,0.0205351226852856,0.0973974687063687,1,1,"FBgn0027512"
330.954193689798,0.0761157021212573,0.131894820988148,1,1,"FBgn0286506"
1500.37950488009,0.0380104981308685,0.0846844449463525,1,1,"FBgn0262955"
1591.96022736129,-0.534510882862147,0.133758465622237,1,1,"FBgn0039613"
303.722780075126,0.0486518545836665,0.115842253347346,1,1,"FBgn0038868"
2368.85920210629,0.0670780968327543,0.0938401569738739,1,1,"FBgn0038787"
1584.44807970908,0.0233842897675938,0.0840724042307883,1,1,"FBgn0051158"
1427.67945312121,-0.0447720548569128,0.0835090418056651,1,1,"FBgn0039600"
